Country,Alpha-2,Alpha-3
Афганистан,AF,AFG
Албания,AL,ALB
Антарктида,AQ,ATA
Алжир,DZ,DZA
Американское Самоа,AS,ASM
Андорра,AD,AND
Ангола,AO,AGO
Антигуа и Барбуда,AG,ATG
Азербайджан,AZ,AZE
Аргентина,AR,ARG
Австралия,AU,AUS
Австрия,AT,AUT
Багамы,BS,BHS
Бахрейн,BH,BHR
Бангладеш,BD,BGD
Армения,AM,ARM
Барбадос,BB,BRB
Бельгия,BE,BEL
Бермуды,BM,BMU
Бутан,BT,BTN
Боливия,BO,BOL
Босния и Герцеговина,BA,BIH
Ботсвана,BW,BWA
Остров Буве,BV,BVT
Бразилия,BR,BRA
Белиз,BZ,BLZ
Британская территория в Индийском океане,IO,IOT
Соломоновы Острова,SB,SLB
Британские Виргинские острова,VG,VGB
Бруней,BN,BRN
Болгария,BG,BGR
Мьянма,MM,MMR
Бурунди,BI,BDI
Белоруссия,BY,BLR
Камбоджа,KH,KHM
Камерун,CM,CMR
Канада,CA,CAN
Кабо-Верде,CV,CPV
Каймановы острова,KY,CYM
ЦАР,CF,CAF
Шри-Ланка,LK,LKA
Чад,TD,TCD
Чили,CL,CHL
КНР,CN,CHN
Китайская Республика,TW,TWN
Остров Рождества,CX,CXR
Кокосовые острова,CC,CCK
Колумбия,CO,COL
Коморы,KM,COM
Майотта,YT,MYT
Республика Конго,CG,COG
Демократическая Республика Конго,CD,COD
Острова Кука,CK,COK
Коста-Рика,CR,CRI
Хорватия,HR,HRV
Куба,CU,CUB
Кипр,CY,CYP
Чехия,CZ,CZE
Бенин,BJ,BEN
Дания,DK,DNK
Доминика,DM,DMA
Доминиканская Республика,DO,DOM
Эквадор,EC,ECU
Сальвадор,SV,SLV
Экваториальная Гвинея,GQ,GNQ
Эфиопия,ET,ETH
Эритрея,ER,ERI
Эстония,EE,EST
Фарерские острова,FO,FRO
Фолклендские острова,FK,FLK
Южная Георгия и Южные Сандвичевы острова,GS,SGS
Фиджи,FJ,FJI
Финляндия,FI,FIN
Аландские острова,AX,ALA
Франция,FR,FRA
Французская Гвиана,GF,GUF
Французская Полинезия,PF,PYF
Французские Южные и Антарктические Территории,TF,ATF
Джибути,DJ,DJI
Габон,GA,GAB
Грузия,GE,GEO
Гамбия,GM,GMB
Палестина,PS,PSE
Германия,DE,DEU
Гана,GH,GHA
Гибралтар,GI,GIB
Кирибати,KI,KIR
Греция,GR,GRC
Гренландия,GL,GRL
Гренада,GD,GRD
Гваделупа,GP,GLP
Гуам,GU,GUM
Гватемала,GT,GTM
Гвинея,GN,GIN
Гайана,GY,GUY
Гаити,HT,HTI
Херд и Макдональд,HM,HMD
Ватикан,VA,VAT
Гондурас,HN,HND
Гонконг,HK,HKG
Венгрия,HU,HUN
Исландия,IS,ISL
Индия,IN,IND
Индонезия,ID,IDN
Иран,IR,IRN
Ирак,IQ,IRQ
Ирландия,IE,IRL
Израиль,IL,ISR
Италия,IT,ITA
Кот-д’Ивуар,CI,CIV
Ямайка,JM,JAM
Япония,JP,JPN
Казахстан,KZ,KAZ
Иордания,JO,JOR
Кения,KE,KEN
КНДР,KP,PRK
Республика Корея,KR,KOR
Кувейт,KW,KWT
Киргизия,KG,KGZ
Лаос,LA,LAO
Ливан,LB,LBN
Лесото,LS,LSO
Латвия,LV,LVA
Либерия,LR,LBR
Ливия,LY,LBY
Лихтенштейн,LI,LIE
Литва,LT,LTU
Люксембург,LU,LUX
Макао,MO,MAC
Мадагаскар,MG,MDG
Малави,MW,MWI
Малайзия,MY,MYS
Мальдивы,MV,MDV
Мали,ML,MLI
Мальта,MT,MLT
Мартиника,MQ,MTQ
Мавритания,MR,MRT
Маврикий,MU,MUS
Мексика,MX,MEX
Монако,MC,MCO
Монголия,MN,MNG
Молдавия,MD,MDA
Черногория,ME,MNE
Монтсеррат,MS,MSR
Марокко,MA,MAR
Мозамбик,MZ,MOZ
Оман,OM,OMN
Намибия,NA,NAM
Науру,NR,NRU
Непал,NP,NPL
Нидерланды,NL,NLD
Нидерландские Антильские острова,AN,ANT
Аруба,AW,ABW
Новая Каледония,NC,NCL
Вануату,VU,VUT
Новая Зеландия,NZ,NZL
Никарагуа,NI,NIC
Нигер,NE,NER
Нигерия,NG,NGA
Ниуэ,NU,NIU
Остров Норфолк,NF,NFK
Норвегия,NO,NOR
Северные Марианские острова,MP,MNP
Внешние малые острова (США),UM,UMI
Микронезия,FM,FSM
Маршалловы Острова,MH,MHL
Палау,PW,PLW
Пакистан,PK,PAK
Панама,PA,PAN
Папуа — Новая Гвинея,PG,PNG
Парагвай,PY,PRY
Перу,PE,PER
Филиппины,PH,PHL
Острова Питкэрн,PN,PCN
Польша,PL,POL
Португалия,PT,PRT
Гвинея-Бисау,GW,GNB
Восточный Тимор,TL,TLS
Пуэрто-Рико,PR,PRI
Катар,QA,QAT
Реюньон,RE,REU
Румыния,RO,ROU
Россия,RU,RUS
Руанда,RW,RWA
Остров Святой Елены,SH,SHN
Сент-Китс и Невис,KN,KNA
Ангилья,AI,AIA
Сент-Люсия,LC,LCA
Сен-Пьер и Микелон,PM,SPM
Сент-Винсент и Гренадины,VC,VCT
Сан-Марино,SM,SMR
Сан-Томе и Принсипи,ST,STP
Саудовская Аравия,SA,SAU
Сенегал,SN,SEN
Сербия,RS,SRB
Сейшельские Острова,SC,SYC
Сьерра-Леоне,SL,SLE
Сингапур,SG,SGP
Словакия,SK,SVK
Вьетнам,VN,VNM
Словения,SI,SVN
Сомали,SO,SOM
ЮАР,ZA,ZAF
Зимбабве,ZW,ZWE
Испания,ES,ESP
Западная Сахара,EH,ESH
Судан,SD,SDN
Суринам,SR,SUR
Шпицберген и Ян-Майен,SJ,SJM
Свазиленд,SZ,SWZ
Швеция,SE,SWE
Швейцария,CH,CHE
Сирия,SY,SYR
Таджикистан,TJ,TJK
Таиланд,TH,THA
Того,TG,TGO
Токелау,TK,TKL
Тонга,TO,TON
Тринидад и Тобаго,TT,TTO
ОАЭ,AE,ARE
Тунис,TN,TUN
Турция,TR,TUR
Туркмения,TM,TKM
Тёркс и Кайкос,TC,TCA
Тувалу,TV,TUV
Уганда,UG,UGA
Украина,UA,UKR
Республика Македония,MK,MKD
СССР,SU,SUN
Египет,EG,EGY
Великобритания,GB,GBR
Танзания,TZ,TZA
США,US,USA
Американские Виргинские острова,VI,VIR
Буркина Фасо,BF,BFA
Уругвай,UY,URY
Узбекистан,UZ,UZB
Венесуэла,VE,VEN
Уоллис и Футуна,WF,WLF
Самоа,WS,WSM
Йемен,YE,YEM
Сербия и Черногория,CS,SCG
Замбия,ZM,ZMB
